iter	Passed	Remaining
0	1	174
1	2	138
2	3	121
3	4	106
4	5	103
5	6	103
6	7	103
7	8	100
8	9	97
9	10	93
10	11	89
11	11	85
12	12	81
13	12	77
14	13	74
15	13	71
16	14	69
17	14	67
18	15	65
19	16	64
20	17	64
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	23	52
31	24	51
32	24	50
33	25	49
34	25	48
35	26	47
36	27	45
37	27	44
38	28	43
39	28	42
40	29	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	31
54	37	31
55	38	30
56	39	29
57	39	28
58	40	27
59	40	27
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	47	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	16
76	51	15
77	52	14
78	52	14
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	56	9
86	57	8
87	57	7
88	58	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	62	3
95	62	2
96	63	1
97	64	1
98	65	0
99	65	0
