iter	Passed	Remaining
0	229	228952
1	230	115250
2	231	77009
3	238	59320
4	239	47605
5	239	39753
6	240	34157
7	241	29971
8	242	26723
9	243	24086
10	243	21925
11	244	20126
12	245	18603
13	245	17299
14	246	16168
15	247	15201
16	249	14408
17	250	13676
18	251	12986
19	253	12416
20	254	11851
21	255	11337
22	256	10894
23	257	10458
24	257	10054
25	258	9681
26	259	9334
27	259	9014
28	260	8718
29	260	8436
30	261	8172
31	264	7998
32	268	7853
33	268	7636
34	269	7430
35	270	7242
36	271	7056
37	271	6882
38	272	6716
39	273	6555
40	273	6401
41	274	6257
42	274	6118
43	275	5985
44	276	5857
45	276	5735
46	280	5684
47	282	5597
48	283	5494
49	284	5399
50	284	5298
51	285	5202
52	285	5108
53	286	5018
54	286	4930
55	287	4846
56	288	4765
57	288	4687
58	289	4611
59	289	4537
60	290	4468
61	290	4400
62	292	4348
63	293	4289
64	293	4227
65	294	4169
66	295	4111
67	295	4054
68	296	3999
69	297	3946
70	297	3894
71	298	3842
72	298	3792
73	299	3744
74	299	3696
75	300	3650
76	303	3636
77	308	3648
78	312	3643
79	314	3614
80	315	3579
81	323	3622
82	324	3579
83	324	3541
84	325	3503
85	326	3466
86	326	3429
87	327	3392
88	327	3357
89	328	3321
90	329	3286
91	329	3252
92	330	3219
93	330	3186
94	331	3155
95	331	3123
96	338	3148
97	339	3120
98	339	3091
99	340	3063
100	340	3035
101	341	3007
102	342	2980
103	342	2952
104	343	2925
105	343	2899
106	344	2873
107	344	2847
108	345	2822
109	345	2799
110	346	2775
111	347	2751
112	347	2727
113	355	2764
114	356	2742
115	356	2720
116	357	2697
117	357	2675
118	358	2653
119	359	2632
120	359	2611
121	359	2590
122	360	2571
123	361	2551
124	361	2531
125	362	2512
126	362	2493
127	363	2474
128	369	2497
129	370	2481
130	371	2464
131	372	2447
132	372	2429
133	373	2412
134	373	2395
135	374	2379
136	375	2362
137	375	2346
138	376	2329
139	376	2313
140	377	2297
141	377	2280
142	377	2265
143	378	2250
144	379	2235
145	382	2235
146	382	2221
147	383	2207
148	384	2193
149	385	2182
150	385	2169
151	386	2156
152	387	2143
153	387	2129
154	388	2116
155	388	2103
156	389	2090
157	389	2077
158	396	2096
159	397	2085
160	397	2072
161	398	2060
162	398	2048
163	399	2036
164	400	2024
165	400	2013
166	401	2001
167	401	1989
168	403	1984
169	404	1974
170	405	1964
171	408	1966
172	409	1958
173	410	1949
174	411	1939
175	412	1929
176	412	1919
177	413	1908
178	414	1898
179	414	1888
180	415	1878
181	415	1868
182	417	1863
183	418	1854
184	418	1844
185	419	1835
186	419	1825
187	420	1816
188	425	1826
189	429	1829
190	429	1820
191	430	1811
192	431	1802
193	432	1795
194	432	1786
195	433	1778
196	434	1770
197	434	1761
198	435	1753
199	436	1744
200	441	1753
201	445	1758
202	445	1750
203	447	1744
204	447	1736
205	448	1728
206	449	1720
207	449	1713
208	450	1705
209	451	1697
210	451	1689
211	452	1681
212	458	1695
213	459	1688
214	460	1681
215	461	1674
216	462	1667
217	462	1659
218	463	1652
219	463	1644
220	464	1636
221	464	1629
222	465	1621
223	465	1613
224	466	1606
225	466	1599
226	467	1591
227	468	1584
228	475	1601
229	476	1596
230	477	1589
231	477	1582
232	478	1575
233	479	1568
234	479	1561
235	480	1554
236	480	1547
237	481	1541
238	481	1534
239	482	1527
240	482	1520
241	483	1513
242	485	1513
243	489	1516
244	490	1510
245	490	1504
246	491	1498
247	492	1492
248	492	1486
249	493	1480
250	493	1474
251	494	1467
252	494	1461
253	495	1455
254	496	1449
255	496	1444
256	497	1438
257	497	1431
258	498	1426
259	504	1436
260	505	1430
261	506	1425
262	506	1420
263	507	1414
264	508	1409
265	508	1403
266	509	1397
267	509	1391
268	510	1386
269	510	1380
270	511	1374
271	511	1369
272	512	1363
273	512	1358
274	513	1353
275	513	1348
276	517	1349
277	520	1352
278	521	1347
279	522	1342
280	522	1337
281	523	1332
282	523	1327
283	524	1322
284	525	1317
285	525	1312
286	526	1306
287	526	1301
288	527	1296
289	527	1291
290	528	1286
291	528	1281
292	529	1277
293	531	1275
294	536	1281
295	536	1276
296	537	1272
297	538	1267
298	538	1262
299	539	1258
300	539	1253
301	540	1248
302	540	1243
303	541	1239
304	541	1234
305	542	1229
306	542	1225
307	543	1221
308	544	1216
309	544	1211
310	545	1207
311	550	1214
312	553	1215
313	554	1211
314	554	1206
315	555	1202
316	556	1198
317	556	1194
318	557	1189
319	557	1185
320	558	1180
321	558	1176
322	559	1172
323	559	1168
324	560	1163
325	566	1171
326	567	1167
327	568	1164
328	569	1160
329	569	1156
330	570	1152
331	571	1149
332	571	1145
333	572	1141
334	573	1137
335	573	1133
336	574	1129
337	574	1125
338	575	1121
339	575	1117
340	576	1113
341	583	1122
342	584	1119
343	585	1115
344	585	1112
345	586	1108
346	586	1104
347	587	1100
348	587	1096
349	588	1092
350	589	1089
351	589	1085
352	590	1081
353	590	1078
354	591	1074
355	591	1070
356	595	1071
357	596	1069
358	597	1066
359	598	1063
360	599	1061
361	600	1057
362	600	1054
363	601	1051
364	602	1047
365	602	1044
366	603	1040
367	603	1037
368	604	1033
369	605	1030
370	605	1027
371	606	1023
372	607	1020
373	613	1026
374	614	1024
375	615	1021
376	616	1018
377	616	1014
378	617	1011
379	618	1008
380	618	1005
381	619	1002
382	620	998
383	620	995
384	621	992
385	621	989
386	622	985
387	622	982
388	626	984
389	627	981
390	628	978
391	628	975
392	629	972
393	630	969
394	630	966
395	631	962
396	631	959
397	632	956
398	632	953
399	633	950
400	634	947
401	634	943
402	635	940
403	635	937
404	636	934
405	636	931
406	642	936
407	643	933
408	644	930
409	645	928
410	645	925
411	646	922
412	646	919
413	647	916
414	647	913
415	648	910
416	649	907
417	649	904
418	650	901
419	650	898
420	651	895
421	651	892
422	653	891
423	658	894
424	659	891
425	659	889
426	660	886
427	661	884
428	663	882
429	663	879
430	664	877
431	665	875
432	666	873
433	667	870
434	669	869
435	670	866
436	670	864
437	678	870
438	679	867
439	679	865
440	680	862
441	681	860
442	681	857
443	682	854
444	682	851
445	683	848
446	684	846
447	684	843
448	685	840
449	685	837
450	686	835
451	686	832
452	690	834
453	691	831
454	692	829
455	692	826
456	693	824
457	694	822
458	695	820
459	696	818
460	697	815
461	698	813
462	698	810
463	699	808
464	702	808
465	703	805
466	704	803
467	705	802
468	706	799
469	707	797
470	708	795
471	708	792
472	709	790
473	709	787
474	710	785
475	710	782
476	716	785
477	717	783
478	717	780
479	718	778
480	719	776
481	720	773
482	720	771
483	721	768
484	721	766
485	722	763
486	722	761
487	723	758
488	723	756
489	724	753
490	724	751
491	725	748
492	725	746
493	726	743
494	732	747
495	733	745
496	734	742
497	734	740
498	735	738
499	735	735
500	736	733
501	737	731
502	737	729
503	738	726
504	738	724
505	739	721
506	739	719
507	740	717
508	740	714
509	741	712
510	741	709
511	745	710
512	748	710
513	749	708
514	749	706
515	750	703
516	751	701
517	751	699
518	752	697
519	752	694
520	753	692
521	753	690
522	754	687
523	754	685
524	755	683
525	755	681
526	756	679
527	757	676
528	757	674
529	758	672
530	761	672
531	762	670
532	762	668
533	763	666
534	764	664
535	764	662
536	765	660
537	766	657
538	766	655
539	767	653
540	767	651
541	768	649
542	768	646
543	769	644
544	773	645
545	775	644
546	776	642
547	776	640
548	777	638
549	778	636
550	778	634
551	779	632
552	780	630
553	780	628
554	781	626
555	782	624
556	782	622
557	783	620
558	783	618
559	784	616
560	790	618
561	791	616
562	792	614
563	792	612
564	793	610
565	793	608
566	794	606
567	794	604
568	795	602
569	795	600
570	796	598
571	796	596
572	797	594
573	798	592
574	798	590
575	799	588
576	805	590
577	806	588
578	807	587
579	808	585
580	809	583
581	809	581
582	810	579
583	811	577
584	811	575
585	812	573
586	812	571
587	813	569
588	813	567
589	814	565
590	814	563
591	815	561
592	820	562
593	820	561
594	821	559
595	822	557
596	822	555
597	823	553
598	823	551
599	824	549
600	826	548
601	827	546
602	827	544
603	828	543
604	828	541
605	829	539
606	830	537
607	831	535
608	837	537
609	838	536
610	839	534
611	839	532
612	840	530
613	841	528
614	841	526
615	842	525
616	843	523
617	843	521
618	844	519
619	845	518
620	845	516
621	852	518
622	854	516
623	854	515
624	855	513
625	855	511
626	856	509
627	857	507
628	857	505
629	858	503
630	858	502
631	859	500
632	859	498
633	860	496
634	860	494
635	864	494
636	865	493
637	867	492
638	868	490
639	869	488
640	869	487
641	870	485
642	870	483
643	871	481
644	872	480
645	872	478
646	873	476
647	874	474
648	874	473
649	875	471
650	875	469
651	876	467
652	879	467
653	880	465
654	881	464
655	883	463
656	884	461
657	884	459
658	885	458
659	886	456
660	886	454
661	887	453
662	888	451
663	889	449
664	889	448
665	890	446
666	890	444
667	891	442
668	891	441
669	897	441
670	898	440
671	898	438
672	899	437
673	900	435
674	901	433
675	901	432
676	902	430
677	902	428
678	903	426
679	903	425
680	904	423
681	904	421
682	905	420
683	905	418
684	906	416
685	906	415
686	912	415
687	913	414
688	913	412
689	914	411
690	915	409
691	916	407
692	916	406
693	917	404
694	918	402
695	918	401
696	919	399
697	919	397
698	920	396
699	920	394
700	921	392
701	921	391
702	922	389
703	924	388
704	928	388
705	929	387
706	930	385
707	930	383
708	931	382
709	931	380
710	932	379
711	932	377
712	933	375
713	933	374
714	934	372
715	934	370
716	935	369
717	936	367
718	936	366
719	937	364
720	937	362
721	941	362
722	943	361
723	944	360
724	945	358
725	945	356
726	946	355
727	947	353
728	947	352
729	948	350
730	949	349
731	949	347
732	950	346
733	950	344
734	951	343
735	951	341
736	952	339
737	952	338
738	958	338
739	959	337
740	960	335
741	961	334
742	961	332
743	962	331
744	963	329
745	963	328
746	964	326
747	964	325
748	965	323
749	965	321
750	966	320
751	966	318
752	967	317
753	969	316
754	974	316
755	975	314
756	975	313
757	976	311
758	976	310
759	977	308
760	977	307
761	978	305
762	979	304
763	979	302
764	980	301
765	980	299
766	981	298
767	981	296
768	982	295
769	982	293
770	988	293
771	989	292
772	990	290
773	991	289
774	991	287
775	992	286
776	992	284
777	993	283
778	993	281
779	994	280
780	994	279
781	995	277
782	996	276
783	996	274
784	997	273
785	997	271
786	998	270
787	1001	269
788	1002	268
789	1003	266
790	1004	265
791	1005	263
792	1006	262
793	1007	261
794	1007	259
795	1008	258
796	1009	257
797	1009	255
798	1010	254
799	1011	252
800	1011	251
801	1012	249
802	1012	248
803	1013	247
804	1018	246
805	1022	246
806	1023	244
807	1024	243
808	1024	241
809	1025	240
810	1025	239
811	1026	237
812	1027	236
813	1027	234
814	1028	233
815	1029	232
816	1034	231
817	1035	230
818	1037	229
819	1037	227
820	1038	226
821	1038	224
822	1039	223
823	1040	222
824	1040	220
825	1041	219
826	1041	217
827	1042	216
828	1042	215
829	1043	213
830	1044	212
831	1044	210
832	1050	210
833	1053	209
834	1054	208
835	1054	206
836	1055	205
837	1056	204
838	1056	202
839	1057	201
840	1058	200
841	1059	198
842	1060	197
843	1067	197
844	1068	195
845	1068	194
846	1069	193
847	1070	191
848	1070	190
849	1071	189
850	1071	187
851	1072	186
852	1073	184
853	1073	183
854	1074	182
855	1074	180
856	1075	179
857	1075	178
858	1078	177
859	1079	175
860	1080	174
861	1081	173
862	1081	171
863	1082	170
864	1083	169
865	1083	167
866	1084	166
867	1084	164
868	1085	163
869	1085	162
870	1086	160
871	1086	159
872	1087	158
873	1087	156
874	1088	155
875	1088	154
876	1092	153
877	1094	152
878	1095	150
879	1095	149
880	1096	148
881	1097	146
882	1097	145
883	1098	144
884	1098	142
885	1099	141
886	1100	140
887	1100	138
888	1101	137
889	1101	136
890	1102	134
891	1102	133
892	1103	132
893	1103	130
894	1109	130
895	1110	128
896	1111	127
897	1111	126
898	1112	124
899	1112	123
900	1113	122
901	1114	121
902	1114	119
903	1115	118
904	1115	117
905	1116	115
906	1116	114
907	1117	113
908	1117	111
909	1118	110
910	1119	109
911	1124	108
912	1125	107
913	1128	106
914	1128	104
915	1129	103
916	1130	102
917	1130	101
918	1131	99
919	1132	98
920	1132	97
921	1133	95
922	1134	94
923	1134	93
924	1141	92
925	1142	91
926	1143	90
927	1143	88
928	1144	87
929	1145	86
930	1146	84
931	1146	83
932	1147	82
933	1148	81
934	1148	79
935	1149	78
936	1149	77
937	1150	76
938	1150	74
939	1157	73
940	1159	72
941	1159	71
942	1160	70
943	1161	68
944	1161	67
945	1162	66
946	1162	65
947	1163	63
948	1163	62
949	1164	61
950	1165	60
951	1165	58
952	1166	57
953	1168	56
954	1173	55
955	1174	54
956	1174	52
957	1175	51
958	1176	50
959	1176	49
960	1177	47
961	1177	46
962	1178	45
963	1178	44
964	1179	42
965	1179	41
966	1180	40
967	1181	39
968	1181	37
969	1184	36
970	1188	35
971	1188	34
972	1189	33
973	1190	31
974	1190	30
975	1191	29
976	1192	28
977	1192	26
978	1193	25
979	1193	24
980	1194	23
981	1194	21
982	1195	20
983	1196	19
984	1196	18
985	1197	16
986	1203	15
987	1204	14
988	1204	13
989	1205	12
990	1206	10
991	1206	9
992	1207	8
993	1207	7
994	1208	6
995	1208	4
996	1209	3
997	1209	2
998	1210	1
999	1211	0
